,bike_type,frame_material,production_cost,assembly_time,top_speed,battery_type,motor_power,customer_score
426,mountain,steel,440.42,69.21,40.77,li-ion,189,4.87
427,mountain,steel,322.76,62.97,20.82,li-ion,142,4.25
428,folding,carbon fiber,272.94,59.06,25.55,li-ion,257,4.91
429,mountain,steel,761.58,67.75,21.09,li-ion,221,6.4
430,road,carbon fiber,652.63,60.06,14.51,other,283,7.64
431,mountain,aluminum,701.85,49.52,26.74,lead acid,201,5.18
432,mountain,carbon fiber,439.82,67.7,17.87,li-ion,228,5.08
433,road,carbon fiber,534.67,60.72,22.81,nimh,274,6.08
434,mountain,steel,215.61,68.56,24.72,lead acid,267,5.53
435,road,aluminum,753.18,65.69,32.31,nimh,213,9.35
436,folding,aluminum,633.72,68.97,24.56,li-ion,293,7.23
437,road,steel,547.57,57.25,32.37,nimh,353,7.1
438,standard,aluminum,287.94,50.15,21.79,nimh,340,7.32
439,folding,aluminum,303.55,60.23,27.72,lead acid,177,7.27
440,road,carbon fiber,598.6,39.25,19.49,nimh,246,7.16
441,mountain,carbon fiber,590.8,43.12,18.42,lead acid,186,6.56
442,standard,carbon fiber,480.94,74.63,24.92,li-ion,299,8.42
443,road,carbon fiber,613.91,49.15,19.26,li-ion,183,4.84
444,standard,carbon fiber,265.43,70.27,33.68,li-ion,168,6.94
445,folding,aluminum,467.73,81.23,20.99,other,189,5.65
446,road,steel,800.0,58.37,31.38,li-ion,246,10.83
447,mountain,carbon fiber,737.27,66.75,24.51,lead acid,303,5.68
448,mountain,carbon fiber,553.88,31.32,32.47,lead acid,247,7.44
449,standard,aluminum,420.31,52.69,18.76,li-ion,230,5.09
450,mountain,aluminum,242.02,73.37,25.0,nimh,210,6.59
451,standard,steel,670.64,57.67,13.77,lead acid,238,9.85
452,mountain,carbon fiber,339.87,47.07,26.66,li-ion,258,6.86
453,mountain,steel,720.16,54.03,20.96,nimh,307,8.74
454,road,steel,344.37,78.95,16.57,lead acid,276,5.09
455,mountain,aluminum,716.56,80.81,16.66,li-ion,219,8.15
456,standard,aluminum,796.4,58.94,29.3,nimh,196,7.82
457,folding,carbon fiber,531.67,48.49,28.29,li-ion,285,6.21
458,folding,steel,510.96,65.79,25.0,li-ion,209,8.73
459,standard,carbon fiber,333.57,88.14,30.98,nimh,199,7.38
460,standard,carbon fiber,252.23,54.13,24.23,lead acid,222,3.81
461,mountain,steel,486.64,85.36,25.61,nimh,230,5.9
462,mountain,steel,477.94,29.53,31.85,nimh,231,2.46
463,folding,steel,402.3,66.22,29.12,li-ion,216,7.01
464,folding,steel,567.38,76.43,28.43,lead acid,279,7.56
465,mountain,aluminum,590.2,44.32,30.73,nimh,291,5.76
466,standard,steel,400.2,63.72,27.56,lead acid,236,8.23
467,road,steel,614.21,43.67,28.2,li-ion,203,7.14
468,standard,aluminum,513.66,60.28,25.52,lead acid,191,3.72
469,folding,steel,703.35,60.03,20.26,lead acid,222,10.07
470,mountain,steel,610.01,74.46,32.37,li-ion,245,7.67
471,standard,carbon fiber,286.44,55.88,27.31,nimh,299,6.91
472,folding,carbon fiber,499.85,75.66,25.0,li-ion,298,7.79
473,road,carbon fiber,323.06,58.14,22.28,lead acid,265,3.44
474,road,steel,696.45,79.79,17.57,lead acid,197,8.84
475,standard,carbon fiber,311.66,49.9,14.06,nimh,213,5.29
476,folding,steel,704.25,97.73,28.91,li-ion,221,7.06
477,standard,aluminum,323.36,65.73,26.32,li-ion,255,8.53
478,mountain,steel,205.7,72.76,19.29,lead acid,313,6.09
479,mountain,steel,583.29,90.81,21.95,lead acid,250,7.05
480,folding,steel,379.19,55.68,10.61,nimh,211,5.68
481,standard,steel,480.34,53.24,27.99,li-ion,216,4.41
482,folding,aluminum,509.15,72.56,25.41,li-ion,313,7.75
483,folding,steel,225.51,69.52,18.29,lead acid,271,6.0
484,folding,carbon fiber,428.11,49.76,25.37,nimh,282,5.92
485,road,steel,332.07,69.48,23.99,lead acid,182,5.45
486,folding,steel,216.51,77.79,24.73,nimh,270,2.64
487,mountain,carbon fiber,616.31,79.82,33.46,nimh,351,7.03
488,mountain,aluminum,483.04,75.58,24.47,lead acid,273,6.76
489,mountain,steel,498.95,61.05,30.63,lead acid,221,10.16
490,mountain,steel,442.22,52.23,17.37,nimh,265,5.24
491,road,aluminum,691.35,69.22,28.93,lead acid,241,6.3
492,standard,steel,310.46,47.32,26.55,lead acid,217,5.56
493,road,steel,292.15,59.34,24.82,li-ion,232,6.76
494,folding,steel,224.31,47.4,34.18,li-ion,146,4.74
495,mountain,steel,535.87,52.66,25.86,li-ion,218,4.56
496,road,carbon fiber,604.6,79.57,26.48,lead acid,216,7.35
497,road,steel,426.31,62.9,31.57,li-ion,233,6.44
498,standard,carbon fiber,684.44,78.77,24.85,lead acid,212,8.9
499,standard,carbon fiber,477.34,79.91,25.9,lead acid,232,8.64
500,folding,steel,513.96,81.48,32.08,nimh,199,6.82
501,road,aluminum,375.59,62.8,28.67,nimh,267,6.95
502,folding,steel,743.27,36.74,26.56,other,205,5.32
503,mountain,carbon fiber,319.16,35.32,21.6,lead acid,232,4.06
504,road,steel,434.72,66.44,32.53,nimh,170,5.13
505,folding,steel,732.17,57.99,28.39,lead acid,197,10.02
506,mountain,steel,354.88,65.76,25.0,li-ion,140,6.12
507,standard,steel,796.1,25.32,23.58,lead acid,269,5.96
508,standard,steel,402.9,81.1,23.75,nimh,298,5.08
509,mountain,aluminum,484.84,69.08,27.52,li-ion,227,6.87
510,folding,aluminum,732.47,89.19,25.0,lead acid,262,6.23
511,mountain,steel,621.41,61.61,22.78,nimh,211,7.88
512,road,aluminum,495.35,75.57,30.31,nimh,275,6.54
513,folding,steel,743.57,70.55,17.56,lead acid,237,7.37
514,mountain,steel,321.56,83.29,34.29,nimh,251,6.55
515,folding,steel,789.79,53.12,23.09,nimh,261,8.42
516,mountain,steel,579.99,72.17,28.95,lead acid,251,6.28
517,standard,steel,391.5,52.59,20.34,li-ion,238,6.54
518,mountain,carbon fiber,345.57,64.94,26.36,li-ion,232,5.56
519,road,carbon fiber,599.8,86.86,22.94,li-ion,156,9.26
520,mountain,carbon fiber,238.42,57.44,18.23,lead acid,131,4.15
521,mountain,aluminum,607.3,73.35,23.29,nimh,265,6.35
522,standard,aluminum,709.65,64.03,16.33,li-ion,243,6.68
523,road,aluminum,485.74,50.16,22.68,other,217,7.49
524,road,steel,641.22,69.58,19.41,nimh,156,9.33
525,standard,steel,423.61,64.19,24.19,other,212,7.4
526,mountain,carbon fiber,503.75,78.89,30.55,lead acid,240,5.14
527,standard,steel,783.79,24.94,29.23,nimh,266,4.63
528,mountain,carbon fiber,561.98,38.13,28.04,lead acid,225,6.68
529,folding,steel,485.14,57.0,18.0,nimh,161,6.74
530,standard,steel,323.96,55.77,25.88,li-ion,240,5.79
531,mountain,carbon fiber,735.77,56.02,24.11,nimh,202,8.77
532,folding,aluminum,771.19,44.31,15.51,li-ion,337,7.0
533,mountain,steel,280.14,59.82,33.5,nimh,281,4.72
534,folding,steel,559.28,57.08,25.0,lead acid,232,6.57
535,road,steel,397.2,61.23,29.18,li-ion,210,4.96
536,mountain,carbon fiber,629.51,53.51,24.66,nimh,234,6.72
537,road,aluminum,645.42,51.59,16.28,nimh,227,5.51
538,standard,aluminum,525.66,66.87,34.11,nimh,246,6.23
539,road,aluminum,362.98,73.1,21.12,lead acid,174,3.68
540,standard,aluminum,768.48,73.73,25.46,lead acid,263,6.77
541,road,steel,726.76,79.83,25.52,lead acid,239,8.5
542,road,aluminum,498.35,62.1,22.55,li-ion,208,6.42
543,road,carbon fiber,443.12,58.31,17.37,li-ion,226,3.32
544,standard,carbon fiber,227.61,50.93,20.46,nimh,241,4.93
545,standard,aluminum,760.38,64.82,38.4,li-ion,233,8.01
546,folding,aluminum,507.65,48.04,26.45,nimh,182,6.58
547,mountain,steel,498.65,74.28,28.3,nimh,259,4.05
548,mountain,steel,524.76,67.58,14.98,lead acid,295,7.37
549,road,carbon fiber,462.63,39.09,16.8,lead acid,291,5.67
550,standard,steel,690.45,56.5,22.71,nimh,244,7.02
551,folding,steel,795.2,84.38,22.59,nimh,224,5.88
552,folding,aluminum,370.79,56.52,14.97,lead acid,172,6.89
553,mountain,steel,211.71,74.06,29.48,nimh,305,6.92
554,standard,steel,582.09,51.71,32.02,lead acid,290,7.83
555,mountain,aluminum,380.09,64.07,29.52,lead acid,248,5.21
556,mountain,carbon fiber,374.99,77.22,21.81,li-ion,228,6.21
557,standard,aluminum,613.01,64.45,19.44,li-ion,294,6.15
558,standard,aluminum,649.02,59.62,20.3,lead acid,192,8.04
559,folding,aluminum,627.11,59.94,19.51,lead acid,234,7.28
560,folding,carbon fiber,717.76,53.21,22.44,lead acid,172,7.78
561,standard,carbon fiber,679.34,63.54,19.16,li-ion,218,7.66
562,road,carbon fiber,742.07,57.03,33.28,li-ion,325,9.6
563,road,carbon fiber,311.36,69.67,23.05,li-ion,200,6.05
564,mountain,aluminum,366.28,61.62,17.75,other,211,8.28
565,folding,carbon fiber,439.52,57.41,26.23,nimh,218,9.27
566,standard,carbon fiber,203.3,98.72,14.19,li-ion,297,5.11
567,road,carbon fiber,214.41,79.21,32.8,nimh,186,7.52
568,folding,steel,431.72,42.0,17.82,lead acid,246,6.8
569,mountain,carbon fiber,779.59,77.56,21.69,other,292,9.02
570,standard,carbon fiber,298.45,60.16,28.22,lead acid,247,4.39
571,standard,aluminum,210.21,53.59,32.71,nimh,251,7.24
572,folding,carbon fiber,522.36,60.83,21.01,lead acid,244,4.9
573,road,carbon fiber,705.15,83.78,25.03,nimh,260,6.74
574,standard,carbon fiber,596.8,60.28,17.79,lead acid,239,6.74
575,mountain,carbon fiber,359.68,64.39,22.47,nimh,288,7.4
576,mountain,steel,536.47,60.11,22.68,lead acid,268,3.33
577,folding,steel,319.76,81.76,37.99,nimh,275,5.82
578,standard,aluminum,336.27,73.3,32.49,nimh,278,6.67
579,mountain,aluminum,629.81,93.11,15.38,lead acid,274,7.26
580,mountain,carbon fiber,795.5,45.6,29.72,lead acid,350,8.53
581,road,carbon fiber,268.43,31.84,26.65,nimh,100,6.94
582,road,aluminum,251.93,98.89,24.76,lead acid,286,5.18
583,folding,steel,638.22,61.17,27.86,lead acid,223,7.89
584,mountain,carbon fiber,707.85,38.11,16.86,lead acid,227,8.35
585,folding,steel,241.42,63.17,29.72,nimh,181,4.08
586,road,steel,293.35,35.3,28.98,lead acid,264,6.48
587,folding,steel,363.58,68.83,27.39,nimh,294,7.05
588,road,aluminum,413.71,36.84,25.07,li-ion,262,7.23
589,road,aluminum,456.03,67.92,28.94,li-ion,287,4.73
590,folding,carbon fiber,223.11,53.96,29.52,li-ion,215,6.3
591,mountain,aluminum,453.93,68.03,14.68,lead acid,258,8.37
592,folding,steel,330.27,28.92,28.4,li-ion,318,4.86
593,road,aluminum,631.92,76.26,22.94,li-ion,268,6.87
594,folding,carbon fiber,412.21,65.62,17.75,nimh,279,6.89
595,folding,steel,516.96,36.98,20.6,lead acid,174,5.8
596,standard,carbon fiber,698.55,48.16,32.98,li-ion,184,7.45
597,standard,aluminum,458.13,49.53,25.87,other,171,4.52
598,mountain,aluminum,343.47,71.67,26.65,li-ion,217,6.25
599,road,steel,785.89,65.07,21.92,lead acid,270,6.77
600,standard,steel,685.04,72.93,29.57,lead acid,311,7.19
601,folding,aluminum,491.45,50.19,20.98,nimh,409,4.61
602,folding,steel,264.53,56.02,30.56,lead acid,236,5.42
603,mountain,steel,324.56,81.27,22.94,nimh,202,7.22
604,folding,carbon fiber,284.34,53.08,25.81,nimh,213,4.67
605,mountain,steel,383.09,83.5,28.27,lead acid,294,4.45
606,folding,carbon fiber,241.12,35.96,25.03,lead acid,200,8.0
607,folding,aluminum,278.94,86.49,30.12,nimh,331,3.55
608,folding,aluminum,795.8,77.3,25.5,li-ion,194,8.77
609,folding,steel,724.06,58.21,31.1,nimh,209,6.33
610,folding,carbon fiber,623.21,65.79,27.31,nimh,200,5.02
611,mountain,steel,239.62,48.0,24.24,lead acid,257,6.02
612,road,aluminum,694.05,34.84,27.65,li-ion,165,7.4
613,mountain,carbon fiber,757.08,68.21,28.1,lead acid,251,7.09
614,road,aluminum,216.81,65.29,25.02,lead acid,293,6.61
615,folding,aluminum,785.29,79.78,26.14,nimh,257,9.33
616,folding,aluminum,632.82,71.8,31.72,nimh,155,5.28
617,standard,carbon fiber,341.67,63.05,23.71,li-ion,259,6.68
618,road,steel,551.18,41.23,15.82,lead acid,226,4.81
619,folding,carbon fiber,271.14,55.09,26.41,lead acid,250,3.76
620,folding,steel,466.53,61.76,31.16,nimh,264,6.49
621,mountain,carbon fiber,521.76,81.26,22.88,lead acid,190,7.57
622,standard,carbon fiber,347.37,64.78,27.37,lead acid,259,6.65
623,road,steel,577.59,57.92,23.71,lead acid,215,5.76
624,road,steel,783.49,72.67,29.02,li-ion,252,8.15
625,standard,aluminum,758.88,58.36,22.77,li-ion,236,8.07
626,mountain,steel,538.27,85.58,20.33,lead acid,255,6.49
627,mountain,carbon fiber,604.3,60.92,27.62,lead acid,311,7.66
628,standard,aluminum,220.41,77.61,18.21,nimh,189,4.92
629,folding,steel,337.77,47.93,21.92,other,298,2.82
630,road,steel,504.65,43.55,27.61,other,279,5.47
631,road,steel,533.77,63.48,20.28,li-ion,370,7.15
632,folding,steel,482.74,51.52,25.36,li-ion,302,4.78
633,road,steel,634.62,42.6,23.61,li-ion,215,6.83
634,standard,carbon fiber,398.4,47.05,22.02,li-ion,249,4.8
635,road,aluminum,663.73,52.19,19.79,other,254,10.0
636,mountain,aluminum,251.03,51.11,34.41,nimh,374,5.76
637,road,carbon fiber,607.9,50.78,31.86,li-ion,167,6.06
638,standard,aluminum,432.32,60.68,25.06,lead acid,206,5.78
639,road,steel,253.73,68.25,25.29,nimh,230,4.73
640,mountain,steel,462.93,42.55,25.29,nimh,228,6.53
641,standard,aluminum,778.99,45.56,27.53,li-ion,172,5.51
642,folding,carbon fiber,343.17,75.09,30.68,nimh,222,6.11
643,folding,aluminum,395.1,50.78,25.81,lead acid,292,4.18
644,mountain,aluminum,604.9,28.29,20.58,nimh,262,7.76
645,folding,aluminum,296.05,55.49,33.29,nimh,265,5.72
646,folding,steel,518.46,52.5,31.29,li-ion,302,5.94
647,road,carbon fiber,348.87,47.4,34.84,nimh,199,6.49
648,folding,aluminum,475.84,45.26,18.32,nimh,234,8.03
649,road,steel,523.26,79.58,25.0,li-ion,258,6.3
650,folding,carbon fiber,749.57,63.42,23.49,other,210,8.94
651,mountain,carbon fiber,390.6,61.27,26.51,other,221,4.69
652,standard,carbon fiber,376.79,82.62,26.55,nimh,254,6.8
653,standard,carbon fiber,383.69,58.12,23.61,li-ion,305,8.16
654,mountain,steel,643.32,47.6,17.53,li-ion,242,9.85
655,folding,carbon fiber,468.33,52.34,23.87,nimh,294,6.49
656,road,steel,663.43,52.28,45.64,nimh,202,7.47
657,folding,aluminum,699.15,68.6,15.96,nimh,287,6.53
658,road,carbon fiber,733.07,61.88,24.59,nimh,301,7.82
659,folding,steel,360.58,56.87,18.54,li-ion,177,6.19
660,mountain,carbon fiber,633.12,59.32,30.7,lead acid,180,6.52
661,folding,steel,368.38,59.42,26.8,li-ion,311,6.22
662,road,carbon fiber,261.23,85.62,27.43,lead acid,249,8.16
663,mountain,steel,767.88,97.1,19.95,nimh,313,9.12
664,road,steel,610.31,61.34,29.5,other,337,6.14
665,folding,carbon fiber,439.22,62.04,27.69,li-ion,216,7.09
666,folding,carbon fiber,790.7,64.26,29.24,li-ion,184,7.74
667,standard,steel,595.9,60.46,24.48,nimh,249,8.22
668,standard,steel,407.1,49.84,27.0,nimh,244,7.39
669,folding,steel,631.62,75.49,21.82,li-ion,278,6.54
670,road,carbon fiber,522.06,54.59,30.05,lead acid,258,6.8
671,folding,carbon fiber,368.68,55.73,20.78,li-ion,231,1.89
672,mountain,carbon fiber,370.19,63.43,22.08,li-ion,248,5.75
673,folding,steel,230.32,57.98,33.84,lead acid,172,4.5
674,folding,carbon fiber,620.81,58.14,32.01,nimh,192,6.58
675,folding,carbon fiber,664.93,65.61,20.03,lead acid,194,8.89
676,folding,aluminum,765.18,65.86,25.45,li-ion,227,7.92
677,folding,carbon fiber,791.9,70.45,28.93,lead acid,251,6.04
678,standard,steel,678.44,26.48,23.5,nimh,281,9.36
679,mountain,steel,507.95,49.97,23.96,nimh,285,6.17
680,mountain,carbon fiber,395.7,73.0,24.18,li-ion,214,4.55
681,road,aluminum,686.84,47.54,21.8,li-ion,210,3.29
682,road,aluminum,453.33,46.82,15.84,lead acid,272,9.04
683,road,aluminum,765.78,48.33,36.18,lead acid,226,7.34
684,mountain,steel,420.61,67.62,19.12,nimh,345,5.54
685,mountain,carbon fiber,230.62,44.62,23.67,lead acid,180,5.7
686,road,carbon fiber,585.09,55.75,19.86,lead acid,253,7.89
687,folding,carbon fiber,759.78,42.61,30.8,li-ion,304,7.93
688,folding,aluminum,726.46,105.04,23.14,li-ion,170,6.69
689,folding,carbon fiber,450.33,50.53,25.0,li-ion,154,7.21
690,mountain,carbon fiber,259.43,80.9,19.19,lead acid,312,4.17
691,standard,carbon fiber,572.19,52.79,17.68,lead acid,256,7.54
692,road,carbon fiber,762.78,54.26,27.21,lead acid,225,6.9
693,road,aluminum,602.2,66.17,20.13,li-ion,225,6.05
694,folding,carbon fiber,552.98,53.37,29.52,li-ion,262,7.14
695,standard,steel,690.15,70.8,30.78,li-ion,255,9.03
696,folding,steel,218.61,71.19,26.97,lead acid,267,6.43
697,mountain,carbon fiber,201.5,52.02,34.92,lead acid,274,5.45
698,folding,aluminum,397.5,77.77,27.7,lead acid,291,6.44
699,standard,aluminum,719.56,40.0,22.56,lead acid,254,7.41
700,standard,aluminum,680.54,32.91,23.52,nimh,223,7.13
701,standard,aluminum,259.13,74.79,24.02,lead acid,315,7.1
702,mountain,aluminum,772.99,76.7,23.46,nimh,321,8.23
703,standard,carbon fiber,565.28,28.2,36.06,lead acid,258,8.61
704,folding,steel,208.7,78.68,27.8,li-ion,238,5.46
705,folding,steel,541.87,61.99,31.83,li-ion,197,8.01
706,standard,carbon fiber,248.62,57.31,29.12,li-ion,207,5.97
707,mountain,steel,616.91,60.13,22.31,li-ion,199,6.47
708,mountain,steel,405.0,60.4,22.25,nimh,267,8.09
709,mountain,carbon fiber,786.19,58.02,25.57,li-ion,240,6.2
710,standard,steel,256.13,57.95,28.77,nimh,242,5.01
711,road,carbon fiber,560.48,66.99,28.16,nimh,349,8.19
712,mountain,aluminum,428.71,57.29,15.96,li-ion,262,4.22
713,standard,aluminum,688.34,74.61,27.97,li-ion,223,9.15
714,folding,steel,254.33,59.56,22.63,li-ion,310,4.19
715,standard,steel,598.0,49.05,15.59,li-ion,354,4.91
716,folding,carbon fiber,670.34,62.24,20.95,li-ion,362,7.45
717,mountain,steel,714.16,72.64,15.17,nimh,235,7.66
718,standard,carbon fiber,549.67,71.08,19.13,nimh,242,6.73
719,road,steel,244.42,77.58,20.76,lead acid,257,5.84
720,standard,carbon fiber,301.75,58.76,20.9,li-ion,264,5.89
721,standard,steel,251.63,83.35,24.02,lead acid,282,5.76
722,road,carbon fiber,310.76,63.22,22.14,li-ion,270,4.26
723,folding,steel,398.1,60.04,23.79,li-ion,339,8.53
724,folding,steel,552.08,88.84,26.86,lead acid,252,5.69
725,road,steel,387.89,55.05,28.96,li-ion,233,6.38
726,standard,steel,309.85,48.72,16.28,lead acid,304,2.91
727,mountain,steel,356.98,54.22,24.64,lead acid,178,4.4
728,standard,aluminum,667.63,67.68,23.95,other,344,6.2
729,mountain,aluminum,655.63,71.19,18.88,lead acid,208,7.67
730,road,carbon fiber,290.35,72.43,18.35,other,269,7.3
731,road,carbon fiber,648.72,68.51,25.15,li-ion,135,6.33
732,road,carbon fiber,483.34,92.91,33.46,lead acid,248,7.42
733,folding,steel,324.26,55.0,28.92,nimh,202,6.54
734,standard,aluminum,715.36,104.15,18.14,li-ion,228,8.74
735,road,steel,526.56,68.75,25.32,nimh,100,5.61
736,road,carbon fiber,462.03,57.57,17.99,other,153,5.61
737,road,steel,440.12,60.06,23.3,nimh,267,7.43
738,mountain,carbon fiber,700.65,78.88,24.46,lead acid,136,9.34
739,standard,carbon fiber,506.45,71.19,25.0,nimh,244,6.4
740,folding,aluminum,533.17,71.98,42.84,li-ion,219,8.06
741,standard,steel,594.7,51.19,22.23,li-ion,232,6.66
742,folding,aluminum,782.89,47.9,21.32,nimh,206,8.41
743,standard,carbon fiber,302.95,36.38,21.54,nimh,314,5.94
744,road,steel,517.56,62.61,16.4,lead acid,269,7.87
745,mountain,carbon fiber,764.28,90.37,32.17,lead acid,230,8.17
746,standard,carbon fiber,278.04,65.13,30.46,nimh,292,2.3
747,standard,steel,411.61,57.47,19.71,lead acid,185,6.89
748,mountain,steel,632.22,52.04,18.35,lead acid,220,7.84
749,mountain,aluminum,203.6,47.61,21.88,nimh,318,4.7
750,road,carbon fiber,421.81,64.83,17.35,li-ion,270,5.92
751,mountain,aluminum,561.08,40.67,24.7,other,203,6.8
752,folding,carbon fiber,566.78,67.05,31.11,lead acid,220,5.72
753,mountain,carbon fiber,410.11,68.4,28.07,nimh,359,8.16
754,folding,steel,329.66,50.59,17.96,lead acid,199,4.72
755,road,carbon fiber,687.14,67.92,18.25,lead acid,193,6.78
756,folding,carbon fiber,627.41,65.2,27.49,nimh,307,5.87
757,standard,carbon fiber,247.42,81.72,26.8,li-ion,293,5.08
758,road,carbon fiber,281.94,52.2,18.64,lead acid,272,6.82
759,standard,carbon fiber,465.63,56.85,23.31,lead acid,306,5.89
760,folding,carbon fiber,527.76,48.8,29.08,li-ion,248,9.47
761,road,aluminum,760.68,56.16,26.5,nimh,175,7.98
762,folding,carbon fiber,731.27,86.19,27.83,nimh,216,9.03
763,folding,steel,619.91,60.42,22.11,li-ion,228,5.63
764,standard,carbon fiber,282.54,87.86,28.64,nimh,330,4.9
765,standard,steel,272.64,57.75,37.23,nimh,253,6.56
766,road,steel,331.17,71.14,26.32,lead acid,280,4.02
767,folding,carbon fiber,621.71,64.08,25.2,lead acid,224,7.4
768,folding,aluminum,374.39,43.2,32.0,other,184,7.49
769,road,aluminum,722.56,74.63,29.33,nimh,266,9.1
770,mountain,carbon fiber,622.01,60.46,18.36,li-ion,288,7.41
771,standard,carbon fiber,349.77,74.75,19.79,other,241,5.52
772,road,steel,349.17,78.63,23.28,nimh,245,7.18
773,standard,aluminum,500.75,51.44,25.3,li-ion,230,4.99
774,standard,aluminum,651.73,58.93,26.95,nimh,235,6.3
775,mountain,aluminum,234.82,33.47,27.77,nimh,255,4.44
776,mountain,aluminum,784.69,60.56,27.74,lead acid,390,7.27
777,road,steel,567.08,51.45,18.42,lead acid,302,6.79
778,mountain,aluminum,585.69,76.05,24.06,li-ion,295,6.11
779,road,steel,574.29,76.93,22.72,lead acid,212,6.66
780,folding,aluminum,554.48,27.0,25.0,nimh,260,4.09
781,folding,steel,669.73,52.8,16.26,lead acid,287,5.85
782,standard,steel,749.27,73.01,30.41,lead acid,138,6.84
783,mountain,steel,535.27,59.58,34.21,lead acid,229,8.92
784,mountain,steel,626.51,41.58,25.34,lead acid,258,6.83
785,mountain,carbon fiber,574.59,76.05,25.0,nimh,247,5.5
786,folding,aluminum,408.0,59.03,16.92,lead acid,163,6.42
787,standard,steel,381.89,77.12,25.85,nimh,258,5.46
788,mountain,aluminum,457.23,40.45,22.62,nimh,247,5.37
789,mountain,carbon fiber,326.06,45.59,18.68,lead acid,293,4.9
790,standard,steel,545.17,47.29,22.71,lead acid,161,7.42
791,folding,carbon fiber,235.72,29.95,19.11,nimh,210,4.7
792,folding,steel,694.65,52.55,22.64,nimh,259,7.55
793,standard,carbon fiber,582.69,82.01,21.46,other,329,5.65
794,mountain,carbon fiber,787.69,64.39,32.98,nimh,297,6.5
795,folding,aluminum,669.13,86.14,22.8,nimh,244,7.61
796,standard,aluminum,488.74,69.88,26.15,li-ion,218,9.67
797,folding,aluminum,555.08,41.62,27.74,lead acid,216,6.44
798,folding,steel,617.21,34.57,25.0,li-ion,260,6.73
799,mountain,carbon fiber,745.97,72.55,24.07,li-ion,282,8.58
800,standard,steel,270.24,59.47,26.36,nimh,255,3.85
801,road,steel,447.92,67.77,14.19,nimh,200,3.3
802,road,aluminum,781.99,57.69,32.2,nimh,182,7.9
803,folding,aluminum,284.94,61.69,22.42,nimh,377,4.89
804,folding,aluminum,378.89,66.48,33.81,nimh,275,4.2
805,mountain,carbon fiber,292.75,22.41,23.89,other,291,4.21
806,standard,steel,297.55,76.98,16.95,nimh,221,4.66
807,road,carbon fiber,265.73,50.33,30.07,lead acid,259,5.16
808,folding,carbon fiber,307.15,35.98,22.17,nimh,242,5.09
809,road,aluminum,769.68,47.44,30.17,nimh,328,8.46
810,mountain,carbon fiber,715.06,93.33,25.42,nimh,195,8.37
811,mountain,steel,740.87,49.46,16.41,lead acid,379,8.15
812,folding,aluminum,647.52,73.2,26.76,lead acid,181,8.37
813,road,aluminum,528.36,71.17,33.19,lead acid,262,7.26
814,folding,aluminum,711.16,83.67,30.9,lead acid,206,10.44
815,standard,steel,733.97,32.06,20.48,nimh,281,7.69
816,mountain,carbon fiber,677.54,62.64,25.48,lead acid,260,6.55
817,standard,carbon fiber,587.19,55.07,29.37,lead acid,297,4.71
818,standard,steel,622.91,98.03,25.0,lead acid,159,5.47
819,standard,carbon fiber,706.65,47.75,31.42,nimh,222,8.74
820,road,carbon fiber,330.87,43.58,17.44,li-ion,303,4.2
821,standard,aluminum,787.39,51.37,24.49,li-ion,134,7.58
822,mountain,steel,624.41,61.95,26.23,nimh,299,6.78
823,mountain,steel,268.13,66.37,20.06,li-ion,260,7.42
824,mountain,aluminum,762.48,61.89,24.89,lead acid,221,6.58
825,folding,steel,679.64,100.38,27.2,nimh,208,6.11
826,road,aluminum,576.09,38.39,28.87,nimh,238,6.92
827,folding,steel,780.79,23.0,24.68,other,265,5.88
828,folding,aluminum,438.02,38.53,20.56,li-ion,181,5.93
829,standard,steel,788.89,65.93,18.92,li-ion,215,8.53
830,folding,carbon fiber,774.79,22.22,34.99,nimh,259,6.45
831,folding,steel,499.25,52.14,33.09,lead acid,225,6.63
832,mountain,steel,423.91,58.71,32.41,lead acid,254,7.2
833,folding,steel,618.71,49.52,21.62,lead acid,218,6.39
834,road,aluminum,717.46,63.73,24.38,nimh,260,6.51
835,mountain,steel,744.77,69.35,24.18,li-ion,303,8.07
836,road,carbon fiber,798.2,50.87,33.96,li-ion,231,6.9
837,road,steel,544.27,72.74,23.66,li-ion,321,9.97
838,standard,steel,442.52,41.63,29.5,nimh,283,4.34
839,folding,steel,616.61,55.31,31.42,nimh,227,6.25
840,road,carbon fiber,404.4,63.19,38.14,lead acid,223,8.3
841,folding,carbon fiber,703.05,20.0,30.47,lead acid,327,8.77
842,road,carbon fiber,416.71,73.08,28.25,lead acid,355,8.4
843,standard,steel,358.18,54.71,22.85,nimh,203,4.29
844,standard,aluminum,408.9,57.64,21.67,nimh,257,8.4
845,folding,carbon fiber,357.58,65.52,23.2,lead acid,258,5.54
846,road,steel,450.93,72.18,25.05,nimh,247,5.42
847,folding,steel,309.55,54.51,16.6,nimh,207,4.29
848,mountain,aluminum,242.92,52.32,26.85,lead acid,225,4.29
849,folding,steel,235.42,69.27,27.95,lead acid,248,5.62
850,folding,aluminum,512.76,53.51,27.73,nimh,177,5.48
851,mountain,carbon fiber,329.36,62.71,26.55,nimh,317,3.42
852,folding,carbon fiber,557.78,46.01,24.99,li-ion,347,6.32
853,standard,aluminum,534.07,70.83,32.3,li-ion,173,4.6
854,standard,aluminum,429.91,56.04,26.92,lead acid,245,8.1
855,mountain,aluminum,334.47,75.21,23.91,lead acid,252,4.99
